Sequence,metric,variant,lambda_rate,BPP,metric_value,on_internal_pareto_frontier
Bosphorous,DISTS,No_CBAM,0.025,0.0135626221029356,0.6312935630480448,False
Bosphorous,MSE,Baseline,0.0018,0.0091562947716732,0.0070784356445074,True
Bosphorous,MSE,Baseline,0.0067,0.0053014352123862,0.0086062967466811,True
Bosphorous,MSE,Baseline,0.025,0.004670539665308,0.0092823367255429,True
Bosphorous,MSE,Full_ATIC,0.0018,0.5089596229835792,0.0017099217550518,False
Bosphorous,MSE,Full_ATIC,0.0067,0.1308627778198493,0.0048183830610166,True
Bosphorous,MSE,Full_ATIC,0.025,0.0153324114167641,0.0166560378546516,False
Bosphorous,MSE,No_AdaptiveQuant,0.0018,0.4970095898349589,0.001400016741051,True
Bosphorous,MSE,No_AdaptiveQuant,0.0067,0.1282130497904961,0.0060612245850885,True
Bosphorous,MSE,No_AdaptiveQuant,0.025,0.0399871323981893,0.016581843762348,False
Bosphorous,MSE,No_CBAM,0.0018,0.5202892837210447,0.001398482080549,True
Bosphorous,MSE,No_CBAM,0.0067,0.4441416355337136,0.0017515166682035,True
Bosphorous,MSE,No_CBAM,0.025,0.0135626221029356,0.0164091260172426,False
YachtRide,PSNR,Baseline,0.0018,0.0057728692815627,12.148539448032814,False
YachtRide,PSNR,Baseline,0.0067,0.0058030093363773,15.981520113569731,False
YachtRide,PSNR,Baseline,0.025,0.0047140809020157,15.990755995499631,True
YachtRide,PSNR,Full_ATIC,0.0018,0.0264381222195095,16.258849980841703,False
YachtRide,PSNR,Full_ATIC,0.0067,0.0173245605029196,17.51934755423617,False
YachtRide,PSNR,Full_ATIC,0.025,0.0186590521227675,15.802047544753451,False
YachtRide,PSNR,No_AdaptiveQuant,0.0018,0.27119860704838,21.592441482924453,True
YachtRide,PSNR,No_AdaptiveQuant,0.0067,0.1413080607598701,16.601226836584534,False
YachtRide,PSNR,No_AdaptiveQuant,0.025,0.0584546862472722,15.244544242476245,False
YachtRide,PSNR,No_CBAM,0.0018,0.0618958182315277,17.532557491807093,False
YachtRide,PSNR,No_CBAM,0.0067,0.4771844111313055,24.79280614746985,True
YachtRide,PSNR,No_CBAM,0.025,0.0141164905941535,18.02663487701317,True
YachtRide,SSIM,Baseline,0.0018,0.0057728692815627,0.4764945397774378,False
YachtRide,SSIM,Baseline,0.0067,0.0058030093363773,0.506525472799937,True
YachtRide,SSIM,Baseline,0.025,0.0047140809020157,0.5039834668238957,True
YachtRide,SSIM,Full_ATIC,0.0018,0.0264381222195095,0.511579688390096,False
YachtRide,SSIM,Full_ATIC,0.0067,0.0173245605029196,0.5163591603438059,False
YachtRide,SSIM,Full_ATIC,0.025,0.0186590521227675,0.5088117639223735,False
YachtRide,SSIM,No_AdaptiveQuant,0.0018,0.27119860704838,0.782580844561259,True
YachtRide,SSIM,No_AdaptiveQuant,0.0067,0.1413080607598701,0.5107468550403913,False
YachtRide,SSIM,No_AdaptiveQuant,0.025,0.0584546862472722,0.4793726513783137,False
YachtRide,SSIM,No_CBAM,0.0018,0.0618958182315277,0.5161523511012395,False
YachtRide,SSIM,No_CBAM,0.0067,0.4771844111313055,0.9024108211199444,True
YachtRide,SSIM,No_CBAM,0.025,0.0141164905941535,0.5179058472315471,True
YachtRide,MS-SSIM,Baseline,0.0018,0.0057728692815627,0.4799852152665456,False
YachtRide,MS-SSIM,Baseline,0.0067,0.0058030093363773,0.4983714759349823,False
YachtRide,MS-SSIM,Baseline,0.025,0.0047140809020157,0.5037934685746829,True
YachtRide,MS-SSIM,Full_ATIC,0.0018,0.0264381222195095,0.507622096935908,False
YachtRide,MS-SSIM,Full_ATIC,0.0067,0.0173245605029196,0.5133229593435923,False
YachtRide,MS-SSIM,Full_ATIC,0.025,0.0186590521227675,0.5042552356918653,False
YachtRide,MS-SSIM,No_AdaptiveQuant,0.0018,0.27119860704838,0.774712273478508,True
YachtRide,MS-SSIM,No_AdaptiveQuant,0.0067,0.1413080607598701,0.5045557116468747,False
YachtRide,MS-SSIM,No_AdaptiveQuant,0.025,0.0584546862472722,0.4836497336626053,False
YachtRide,MS-SSIM,No_CBAM,0.0018,0.0618958182315277,0.5180362790822983,False
YachtRide,MS-SSIM,No_CBAM,0.0067,0.4771844111313055,0.8816018621126811,True
YachtRide,MS-SSIM,No_CBAM,0.025,0.0141164905941535,0.5229182223478953,True
YachtRide,LPIPS,Baseline,0.0018,0.0057728692815627,0.5018927410244942,False
YachtRide,LPIPS,Baseline,0.0067,0.0058030093363773,0.4757235536972681,True
YachtRide,LPIPS,Baseline,0.025,0.0047140809020157,0.4788644999265671,True
YachtRide,LPIPS,Full_ATIC,0.0018,0.0264381222195095,0.4853151296575864,False
YachtRide,LPIPS,Full_ATIC,0.0067,0.0173245605029196,0.4940443312128385,False
YachtRide,LPIPS,Full_ATIC,0.025,0.0186590521227675,0.5366144349177678,False
